[2024-11-17 12:48:28] Dados da tabela portal_vagas_estagio foram apagados.
[2024-11-17 12:48:31] Erro na linha 311, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 312, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 313, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 314, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 315, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 316, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 317, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 318, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 319, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 320, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 321, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 322, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 323, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 324, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 325, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 326, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 327, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 328, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 329, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 330, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 331, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 332, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 333, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 334, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 335, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 336, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 337, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 338, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 339, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 340, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 341, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 342, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 343, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 344, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 345, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 346, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 347, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 348, coluna G: Célula vazia, sem informação.
